ticker,effective_date
PETRONET.NS,2020-03-31
PFC.NS,2020-03-31
PFIZER.NS,2020-03-31
PGHH.NS,2020-03-31
PIDILITIND.NS,2020-03-31
PIIND.NS,2020-03-31
PNB.NS,2020-03-31
PNBHOUSING.NS,2020-03-31
POWERGRID.NS,2020-03-31
PRESTIGE.NS,2020-03-31
QUESS.NS,2020-03-31
RAJESHEXPO.NS,2020-03-31
RAMCOCEM.NS,2020-03-31
RBLBANK.NS,2020-03-31
RECLTD.NS,2020-03-31
SAIL.NS,2020-03-31
SBILIFE.NS,2020-03-31
SBIN.NS,2020-03-31
SHREECEM.NS,2020-03-31
SHRIRAMFIN.NS,2020-03-31
SIEMENS.NS,2020-03-31
SRF.NS,2020-03-31
STRTECH.NS,2020-03-31
SUNPHARMA.NS,2020-03-31
SUNTV.NS,2020-03-31
SYNGENE.NS,2020-03-31
TATACONSUM.NS,2020-03-31
TATAMOTORS.NS,2020-03-31
TATAMTRDVR.NS,2020-03-31
TATAPOWER.NS,2020-03-31
TATASTEEL.NS,2020-03-31
TCS.NS,2020-03-31
TECHM.NS,2020-03-31
TITAN.NS,2020-03-31
TORNTPHARM.NS,2020-03-31
TORNTPOWER.NS,2020-03-31
TVSMOTOR.NS,2020-03-31
UBL.NS,2020-03-31
ULTRACEMCO.NS,2020-03-31
UPL.NS,2020-03-31
VARROC.NS,2020-03-31
VBL.NS,2020-03-31
VEDL.NS,2020-03-31
VGUARD.NS,2020-03-31
VOLTAS.NS,2020-03-31
WHIRLPOOL.NS,2020-03-31
WIPRO.NS,2020-03-31
ZEEL.NS,2020-03-31
ZYDUSLIFE.NS,2020-03-31
AARTIIND.NS,2020-09-30
ABBOTINDIA.NS,2020-09-30
ABCAPITAL.NS,2020-09-30
ABFRL.NS,2020-09-30
ADANIENSOL.NS,2020-09-30
ADANIENT.NS,2020-09-30
ADANIGAS.NS,2020-09-30
ADANIGREEN.NS,2020-09-30
ADANIPORTS.NS,2020-09-30
AJANTPHARM.NS,2020-09-30
ALKEM.NS,2020-09-30
AMBUJACEM.NS,2020-09-30
APLLTD.NS,2020-09-30
APOLLOHOSP.NS,2020-09-30
APOLLOTYRE.NS,2020-09-30
ARE&M.NS,2020-09-30
ASHOKLEY.NS,2020-09-30
ASIANPAINT.NS,2020-09-30
AUBANK.NS,2020-09-30
AUROPHARMA.NS,2020-09-30
AXISBANK.NS,2020-09-30
BAJAJ-AUTO.NS,2020-09-30
BAJAJFINSV.NS,2020-09-30
BAJAJHLDNG.NS,2020-09-30
BAJFINANCE.NS,2020-09-30
BANDHANBNK.NS,2020-09-30
BANKBARODA.NS,2020-09-30
BANKINDIA.NS,2020-09-30
BATAINDIA.NS,2020-09-30
BBTC.NS,2020-09-30
BEL.NS,2020-09-30
BERGEPAINT.NS,2020-09-30
BHARATFORG.NS,2020-09-30
BHARTIARTL.NS,2020-09-30
BHEL.NS,2020-09-30
BIOCON.NS,2020-09-30
BOSCHLTD.NS,2020-09-30
BPCL.NS,2020-09-30
BRITANNIA.NS,2020-09-30
CANBK.NS,2020-09-30
CASTROLIND.NS,2020-09-30
CESC.NS,2020-09-30
CHOLAFIN.NS,2020-09-30
CIPLA.NS,2020-09-30
COALINDIA.NS,2020-09-30
COFORGE.NS,2020-09-30
COLPAL.NS,2020-09-30
CONCOR.NS,2020-09-30
CROMPTON.NS,2020-09-30
CUB.NS,2020-09-30
CUMMINSIND.NS,2020-09-30
DABUR.NS,2020-09-30
DALBHARAT.NS,2020-09-30
DIVISLAB.NS,2020-09-30
DLF.NS,2020-09-30
DMART.NS,2020-09-30
DRREDDY.NS,2020-09-30
EDELWEISS.NS,2020-09-30
EICHERMOT.NS,2020-09-30
EMAMILTD.NS,2020-09-30
ENDURANCE.NS,2020-09-30
ESCORTS.NS,2020-09-30
EXIDEIND.NS,2020-09-30
FEDERALBNK.NS,2020-09-30
FORTIS.NS,2020-09-30
FRETAIL.NS,2020-09-30
GAIL.NS,2020-09-30
GICRE.NS,2020-09-30
GLENMARK.NS,2020-09-30
GMRAIRPORT.NS,2020-09-30
GODREJAGRO.NS,2020-09-30
GODREJCP.NS,2020-09-30
GODREJIND.NS,2020-09-30
GODREJPROP.NS,2020-09-30
GRASIM.NS,2020-09-30
GSPL.NS,2020-09-30
HAVELLS.NS,2020-09-30
HCLTECH.NS,2020-09-30
HDFCAMC.NS,2020-09-30
HDFCBANK.NS,2020-09-30
HDFCLIFE.NS,2020-09-30
HEROMOTOCO.NS,2020-09-30
HINDALCO.NS,2020-09-30
HINDPETRO.NS,2020-09-30
HINDUNILVR.NS,2020-09-30
HINDZINC.NS,2020-09-30
HUDCO.NS,2020-09-30
IBULHSGFIN.NS,2020-09-30
IBVENTURES.NS,2020-09-30
ICICIBANK.NS,2020-09-30
ICICIGI.NS,2020-09-30
ICICIPRULI.NS,2020-09-30
IDEA.NS,2020-09-30
IDFCFIRSTB.NS,2020-09-30
IGL.NS,2020-09-30
INDHOTEL.NS,2020-09-30
INDIGO.NS,2020-09-30
INDUSINDBK.NS,2020-09-30
INDUSTOWER.NS,2020-09-30
INFY.NS,2020-09-30
IOC.NS,2020-09-30
IPCALAB.NS,2020-09-30
IRCTC.NS,2020-09-30
ISEC.NS,2020-09-30
ITC.NS,2020-09-30
JINDALSTEL.NS,2020-09-30
JSWENERGY.NS,2020-09-30
JSWSTEEL.NS,2020-09-30
JUBLFOOD.NS,2020-09-30
KOTAKBANK.NS,2020-09-30
LALPATHLAB.NS,2020-09-30
LICHSGFIN.NS,2020-09-30
LT.NS,2020-09-30
LTF.NS,2020-09-30
LTIM.NS,2020-09-30
LTTS.NS,2020-09-30
LUPIN.NS,2020-09-30
M&M.NS,2020-09-30
M&MFIN.NS,2020-09-30
MANAPPURAM.NS,2020-09-30
MARICO.NS,2020-09-30
MARUTI.NS,2020-09-30
MCDOWELL-N.NS,2020-09-30
MFSL.NS,2020-09-30
MGL.NS,2020-09-30
MOTHERSON.NS,2020-09-30
MPHASIS.NS,2020-09-30
MRF.NS,2020-09-30
MUTHOOTFIN.NS,2020-09-30
NAM-INDIA.NS,2020-09-30
NATIONALUM.NS,2020-09-30
NAVINFLUOR.NS,2020-09-30
NESTLEIND.NS,2020-09-30
NMDC.NS,2020-09-30
NTPC.NS,2020-09-30
OBEROIRLTY.NS,2020-09-30
OFSS.NS,2020-09-30
ONGC.NS,2020-09-30
PAGEIND.NS,2020-09-30
PEL.NS,2020-09-30
PETRONET.NS,2020-09-30
PFC.NS,2020-09-30
PFIZER.NS,2020-09-30
PGHH.NS,2020-09-30
PIDILITIND.NS,2020-09-30
PIIND.NS,2020-09-30
PNB.NS,2020-09-30
POLYCAB.NS,2020-09-30
POWERGRID.NS,2020-09-30
PRESTIGE.NS,2020-09-30
RAJESHEXPO.NS,2020-09-30
RAMCOCEM.NS,2020-09-30
RBLBANK.NS,2020-09-30
RECLTD.NS,2020-09-30
RELIANCE.NS,2020-09-30
SAIL.NS,2020-09-30
SANOFI.NS,2020-09-30
SBILIFE.NS,2020-09-30
SBIN.NS,2020-09-30
SHREECEM.NS,2020-09-30
SHRIRAMFIN.NS,2020-09-30
SIEMENS.NS,2020-09-30
SRF.NS,2020-09-30
SUNPHARMA.NS,2020-09-30
SUNTV.NS,2020-09-30
SYNGENE.NS,2020-09-30
TATACHEM.NS,2020-09-30
TATACONSUM.NS,2020-09-30
TATAMOTORS.NS,2020-09-30
TATAPOWER.NS,2020-09-30
TATASTEEL.NS,2020-09-30
TCS.NS,2020-09-30
TECHM.NS,2020-09-30
TITAN.NS,2020-09-30
TORNTPHARM.NS,2020-09-30
TORNTPOWER.NS,2020-09-30
TRENT.NS,2020-09-30
TVSMOTOR.NS,2020-09-30
UBL.NS,2020-09-30
ULTRACEMCO.NS,2020-09-30
UPL.NS,2020-09-30
VBL.NS,2020-09-30
VGUARD.NS,2020-09-30
VOLTAS.NS,2020-09-30
WHIRLPOOL.NS,2020-09-30
WIPRO.NS,2020-09-30
YESBANK.NS,2020-09-30
ZEEL.NS,2020-09-30
ZYDUSLIFE.NS,2020-09-30
AARTIIND.NS,2021-03-31
ABBOTINDIA.NS,2021-03-31
ABCAPITAL.NS,2021-03-31
ABFRL.NS,2021-03-31
ADANIENSOL.NS,2021-03-31
ADANIENT.NS,2021-03-31
ADANIGAS.NS,2021-03-31
ADANIGREEN.NS,2021-03-31
ADANIPORTS.NS,2021-03-31
AJANTPHARM.NS,2021-03-31
ALKEM.NS,2021-03-31
AMBUJACEM.NS,2021-03-31
APLLTD.NS,2021-03-31
APOLLOHOSP.NS,2021-03-31
APOLLOTYRE.NS,2021-03-31
ARE&M.NS,2021-03-31
ASHOKLEY.NS,2021-03-31
ASIANPAINT.NS,2021-03-31
AUBANK.NS,2021-03-31
AUROPHARMA.NS,2021-03-31
AXISBANK.NS,2021-03-31
BAJAJ-AUTO.NS,2021-03-31
BAJAJFINSV.NS,2021-03-31
BAJAJHLDNG.NS,2021-03-31
BAJFINANCE.NS,2021-03-31
BANDHANBNK.NS,2021-03-31
BANKBARODA.NS,2021-03-31
BANKINDIA.NS,2021-03-31
BATAINDIA.NS,2021-03-31
BBTC.NS,2021-03-31
BEL.NS,2021-03-31
BERGEPAINT.NS,2021-03-31
BHARATFORG.NS,2021-03-31
BHARTIARTL.NS,2021-03-31
BHEL.NS,2021-03-31
BIOCON.NS,2021-03-31
BOSCHLTD.NS,2021-03-31
BPCL.NS,2021-03-31
BRITANNIA.NS,2021-03-31
CANBK.NS,2021-03-31
CASTROLIND.NS,2021-03-31
CESC.NS,2021-03-31
CHOLAFIN.NS,2021-03-31
CIPLA.NS,2021-03-31
COALINDIA.NS,2021-03-31
COFORGE.NS,2021-03-31
COLPAL.NS,2021-03-31
CONCOR.NS,2021-03-31
COROMANDEL.NS,2021-03-31
CUB.NS,2021-03-31
CUMMINSIND.NS,2021-03-31
DABUR.NS,2021-03-31
DALBHARAT.NS,2021-03-31
DEEPAKNTR.NS,2021-03-31
DHANI.NS,2021-03-31
DIVISLAB.NS,2021-03-31
DIXON.NS,2021-03-31
DLF.NS,2021-03-31
DMART.NS,2021-03-31
DRREDDY.NS,2021-03-31
EICHERMOT.NS,2021-03-31
EMAMILTD.NS,2021-03-31
ENDURANCE.NS,2021-03-31
ESCORTS.NS,2021-03-31
EXIDEIND.NS,2021-03-31
FEDERALBNK.NS,2021-03-31
FORTIS.NS,2021-03-31
GAIL.NS,2021-03-31
GLENMARK.NS,2021-03-31
GMRAIRPORT.NS,2021-03-31
GODREJAGRO.NS,2021-03-31
GODREJCP.NS,2021-03-31
GODREJIND.NS,2021-03-31
GODREJPROP.NS,2021-03-31
GRASIM.NS,2021-03-31
GUJGASLTD.NS,2021-03-31
HAL.NS,2021-03-31
HAVELLS.NS,2021-03-31
HCLTECH.NS,2021-03-31
HDFCAMC.NS,2021-03-31
HDFCBANK.NS,2021-03-31
HDFCLIFE.NS,2021-03-31
HEROMOTOCO.NS,2021-03-31
HINDALCO.NS,2021-03-31
HINDPETRO.NS,2021-03-31
HINDUNILVR.NS,2021-03-31
HINDZINC.NS,2021-03-31
IBULHSGFIN.NS,2021-03-31
ICICIBANK.NS,2021-03-31
ICICIGI.NS,2021-03-31
ICICIPRULI.NS,2021-03-31
IDEA.NS,2021-03-31
IDFCFIRSTB.NS,2021-03-31
IGL.NS,2021-03-31
INDHOTEL.NS,2021-03-31
INDIAMART.NS,2021-03-31
INDIGO.NS,2021-03-31
INDUSINDBK.NS,2021-03-31
INDUSTOWER.NS,2021-03-31
INFY.NS,2021-03-31
IOC.NS,2021-03-31
IPCALAB.NS,2021-03-31
IRCTC.NS,2021-03-31
ISEC.NS,2021-03-31
ITC.NS,2021-03-31
JINDALSTEL.NS,2021-03-31
JSWENERGY.NS,2021-03-31
JSWSTEEL.NS,2021-03-31
JUBLFOOD.NS,2021-03-31
KOTAKBANK.NS,2021-03-31
LALPATHLAB.NS,2021-03-31
LAURUSLABS.NS,2021-03-31
LICHSGFIN.NS,2021-03-31
LT.NS,2021-03-31
LTF.NS,2021-03-31
LTIM.NS,2021-03-31
LTTS.NS,2021-03-31
LUPIN.NS,2021-03-31
M&M.NS,2021-03-31
M&MFIN.NS,2021-03-31
MANAPPURAM.NS,2021-03-31
MARICO.NS,2021-03-31
MARUTI.NS,2021-03-31
MCDOWELL-N.NS,2021-03-31
MFSL.NS,2021-03-31
MGL.NS,2021-03-31
MOTHERSON.NS,2021-03-31
MPHASIS.NS,2021-03-31
MRF.NS,2021-03-31
NAM-INDIA.NS,2021-03-31
NATCOPHARM.NS,2021-03-31
NAVINFLUOR.NS,2021-03-31
NESTLEIND.NS,2021-03-31
NMDC.NS,2021-03-31
NTPC.NS,2021-03-31
OBEROIRLTY.NS,2021-03-31
ONGC.NS,2021-03-31
PAGEIND.NS,2021-03-31
PEL.NS,2021-03-31
PETRONET.NS,2021-03-31
PFC.NS,2021-03-31
PFIZER.NS,2021-03-31
PGHH.NS,2021-03-31
PIDILITIND.NS,2021-03-31
PIIND.NS,2021-03-31
PNB.NS,2021-03-31
POLYCAB.NS,2021-03-31
POWERGRID.NS,2021-03-31
PRESTIGE.NS,2021-03-31
RAMCOCEM.NS,2021-03-31
RBLBANK.NS,2021-03-31
RECLTD.NS,2021-03-31
RELIANCE.NS,2021-03-31
SAIL.NS,2021-03-31
SANOFI.NS,2021-03-31
SBICARD.NS,2021-03-31
SBILIFE.NS,2021-03-31
SBIN.NS,2021-03-31
SHREECEM.NS,2021-03-31
SHRIRAMFIN.NS,2021-03-31
SIEMENS.NS,2021-03-31
SUNPHARMA.NS,2021-03-31
SUNTV.NS,2021-03-31
SYNGENE.NS,2021-03-31
TATACHEM.NS,2021-03-31
TATACONSUM.NS,2021-03-31
TATAELXSI.NS,2021-03-31
TATAMOTORS.NS,2021-03-31
TATAPOWER.NS,2021-03-31
TATASTEEL.NS,2021-03-31
TCS.NS,2021-03-31
TECHM.NS,2021-03-31
TITAN.NS,2021-03-31
TORNTPHARM.NS,2021-03-31
TORNTPOWER.NS,2021-03-31
TRENT.NS,2021-03-31
TVSMOTOR.NS,2021-03-31
ULTRACEMCO.NS,2021-03-31
UNIONBANK.NS,2021-03-31
UPL.NS,2021-03-31
VBL.NS,2021-03-31
VEDL.NS,2021-03-31
VGUARD.NS,2021-03-31
VOLTAS.NS,2021-03-31
WHIRLPOOL.NS,2021-03-31
WIPRO.NS,2021-03-31
YESBANK.NS,2021-03-31
ZEEL.NS,2021-03-31
ZYDUSLIFE.NS,2021-03-31
AARTIIND.NS,2021-09-30
ABCAPITAL.NS,2021-09-30
ABFRL.NS,2021-09-30
ADANIENSOL.NS,2021-09-30
ADANIENT.NS,2021-09-30
ADANIGAS.NS,2021-09-30
ADANIGREEN.NS,2021-09-30
ADANIPORTS.NS,2021-09-30
AJANTPHARM.NS,2021-09-30
ALKEM.NS,2021-09-30
AMBUJACEM.NS,2021-09-30
APLLTD.NS,2021-09-30
APOLLOHOSP.NS,2021-09-30
APOLLOTYRE.NS,2021-09-30
ARE&M.NS,2021-09-30
ASHOKLEY.NS,2021-09-30
ASIANPAINT.NS,2021-09-30
ASTRAL.NS,2021-09-30
AUBANK.NS,2021-09-30
AUROPHARMA.NS,2021-09-30
AXISBANK.NS,2021-09-30
BAJAJ-AUTO.NS,2021-09-30
BAJAJFINSV.NS,2021-09-30
BAJAJHLDNG.NS,2021-09-30
BAJFINANCE.NS,2021-09-30
BANDHANBNK.NS,2021-09-30
BANKBARODA.NS,2021-09-30
BANKINDIA.NS,2021-09-30
BATAINDIA.NS,2021-09-30
BEL.NS,2021-09-30
BERGEPAINT.NS,2021-09-30
BHARATFORG.NS,2021-09-30
BHARTIARTL.NS,2021-09-30
BHEL.NS,2021-09-30
BIOCON.NS,2021-09-30
BOSCHLTD.NS,2021-09-30
BPCL.NS,2021-09-30
BRITANNIA.NS,2021-09-30
CANBK.NS,2021-09-30
CASTROLIND.NS,2021-09-30
CHOLAFIN.NS,2021-09-30
CIPLA.NS,2021-09-30
COALINDIA.NS,2021-09-30
COFORGE.NS,2021-09-30
COLPAL.NS,2021-09-30
CONCOR.NS,2021-09-30
COROMANDEL.NS,2021-09-30
CROMPTON.NS,2021-09-30
CUB.NS,2021-09-30
CUMMINSIND.NS,2021-09-30
DABUR.NS,2021-09-30
DALBHARAT.NS,2021-09-30
DEEPAKNTR.NS,2021-09-30
DHANI.NS,2021-09-30
DIVISLAB.NS,2021-09-30
DIXON.NS,2021-09-30
DMART.NS,2021-09-30
DRREDDY.NS,2021-09-30
EICHERMOT.NS,2021-09-30
EMAMILTD.NS,2021-09-30
ENDURANCE.NS,2021-09-30
ESCORTS.NS,2021-09-30
EXIDEIND.NS,2021-09-30
FEDERALBNK.NS,2021-09-30
FORTIS.NS,2021-09-30
GAIL.NS,2021-09-30
GLAND.NS,2021-09-30
GLENMARK.NS,2021-09-30
GMRAIRPORT.NS,2021-09-30
GODREJCP.NS,2021-09-30
GODREJIND.NS,2021-09-30
GODREJPROP.NS,2021-09-30
GRASIM.NS,2021-09-30
GSPL.NS,2021-09-30
GUJGASLTD.NS,2021-09-30
HAL.NS,2021-09-30
HAVELLS.NS,2021-09-30
HCLTECH.NS,2021-09-30
HDFCBANK.NS,2021-09-30
HDFCLIFE.NS,2021-09-30
HEROMOTOCO.NS,2021-09-30
HINDALCO.NS,2021-09-30
HINDCOPPER.NS,2021-09-30
HINDPETRO.NS,2021-09-30
